iter	Logloss
0	0.6641991009
1	0.64102298
2	0.6151567906
3	0.5949691858
4	0.5687055869
5	0.5502912279
6	0.5340706996
7	0.5192872844
8	0.5045046479
9	0.4920994823
10	0.4779264957
11	0.4582511523
12	0.446651986
13	0.4354694409
14	0.4203476775
15	0.4119221297
16	0.4017489364
17	0.3946460399
18	0.3890005758
19	0.3821924419
20	0.3718738699
21	0.3660404564
22	0.3603698171
23	0.3545478599
24	0.3489829225
25	0.3445996317
26	0.3384166856
27	0.3338727271
28	0.3293787472
29	0.3232302872
30	0.3184458013
31	0.3144481093
32	0.3105451266
33	0.3044436458
34	0.2991452232
35	0.2939385145
36	0.2893080961
37	0.2867074355
38	0.2825531081
39	0.279066236
40	0.2764887526
41	0.2728578799
42	0.2698443452
43	0.2669353464
44	0.2640172528
45	0.2604036407
46	0.2571320901
47	0.2555996491
48	0.2533038926
