iter	Passed	Remaining
0	46	23378
1	105	26206
2	164	27235
3	201	24940
4	238	23572
5	280	23104
6	321	22665
7	364	22442
8	406	22197
9	447	21910
10	487	21672
11	526	21427
12	581	21788
13	617	21439
14	654	21149
15	704	21301
16	741	21070
17	779	20883
18	817	20695
19	853	20495
20	892	20363
21	932	20253
22	968	20079
23	1007	19972
24	1044	19847
25	1081	19718
26	1118	19595
27	1171	19746
28	1210	19657
29	1247	19550
30	1284	19440
31	1322	19337
32	1358	19228
33	1395	19128
34	1434	19054
35	1472	18982
36	1508	18876
37	1544	18778
38	1581	18691
39	1615	18583
40	1653	18512
41	1689	18423
42	1726	18348
43	1763	18278
44	1799	18195
45	1837	18136
46	1874	18065
47	1911	18000
48	1949	17947
49	1986	17881
50	2023	17815
51	2062	17768
52	2099	17704
53	2135	17641
54	2172	17579
55	2209	17514
56	2246	17461
57	2286	17421
58	2322	17358
59	2359	17302
60	2396	17248
61	2433	17192
62	2469	17132
63	2506	17076
64	2543	17023
65	2579	16961
66	2616	16912
67	2654	16866
68	2692	16818
69	2728	16763
70	2763	16698
71	2800	16644
72	2837	16596
73	2873	16539
74	2909	16485
75	2946	16440
76	2984	16393
77	3021	16344
78	3056	16290
79	3094	16245
80	3130	16195
81	3168	16151
82	3208	16119
83	3247	16082
84	3284	16038
85	3325	16007
86	3360	15951
87	3395	15898
88	3433	15856
89	3471	15815
90	3506	15760
91	3543	15715
92	3579	15665
93	3618	15630
94	3654	15580
95	3691	15533
96	3727	15487
97	3765	15444
98	3800	15393
99	3836	15344
100	3872	15297
101	3908	15249
102	3943	15201
103	3981	15159
104	4017	15112
105	4052	15064
106	4088	15015
107	4122	14963
108	4162	14931
109	4203	14903
110	4239	14855
111	4276	14814
112	4317	14785
113	4353	14740
114	4389	14696
115	4425	14651
116	4462	14606
117	4501	14574
118	4537	14526
119	4573	14483
120	4609	14437
121	4646	14397
122	4682	14352
123	4718	14308
124	4754	14262
125	4789	14215
126	4825	14172
127	4859	14122
128	4894	14076
129	4929	14030
130	4966	13990
131	5005	13954
132	5041	13910
133	5076	13865
134	5113	13825
135	5148	13779
136	5185	13738
137	5221	13695
138	5258	13655
139	5291	13607
140	5327	13565
141	5365	13527
142	5402	13486
143	5438	13445
144	5473	13401
145	5514	13370
146	5551	13330
147	5587	13289
148	5622	13245
149	5659	13205
150	5697	13169
151	5734	13129
152	5769	13085
153	5804	13042
154	5845	13010
155	5880	12966
156	5916	12925
157	5952	12884
158	5987	12841
159	6023	12800
160	6059	12758
161	6094	12715
162	6129	12672
163	6166	12633
164	6202	12592
165	6239	12553
166	6281	12525
167	6317	12484
168	6353	12443
169	6389	12402
170	6426	12364
171	6464	12327
172	6500	12287
173	6536	12246
174	6573	12208
175	6608	12165
176	6643	12122
177	6680	12084
178	6715	12043
179	6751	12002
180	6786	11960
181	6823	11921
182	6859	11882
183	6896	11844
184	6932	11804
185	6974	11773
186	7008	11731
187	7047	11695
188	7084	11657
189	7119	11615
190	7153	11572
191	7193	11540
192	7231	11503
193	7269	11466
194	7304	11425
195	7341	11386
196	7377	11347
197	7413	11307
198	7450	11268
199	7486	11230
200	7523	11192
201	7559	11151
202	7594	11111
203	7630	11071
204	7664	11029
205	7700	10990
206	7737	10951
207	7772	10910
208	7807	10870
209	7845	10834
210	7881	10795
211	7918	10757
212	7954	10718
213	7993	10682
214	8032	10648
215	8067	10606
216	8101	10565
217	8137	10526
218	8173	10487
219	8210	10449
220	8246	10411
221	8281	10370
222	8317	10331
223	8353	10292
224	8388	10252
225	8423	10213
226	8458	10172
227	8494	10133
228	8530	10094
229	8566	10056
230	8601	10016
231	8637	9977
232	8673	9938
233	8707	9898
234	8744	9860
235	8778	9820
236	8813	9780
237	8848	9740
238	8883	9701
239	8917	9660
240	8952	9620
241	8989	9583
242	9028	9548
243	9061	9507
244	9099	9470
245	9135	9433
246	9170	9393
247	9205	9354
248	9241	9315
249	9276	9276
250	9313	9239
251	9348	9200
252	9386	9163
253	9422	9125
254	9457	9086
255	9493	9048
256	9531	9012
257	9565	8971
258	9601	8934
259	9635	8894
260	9671	8856
261	9707	8818
262	9742	8779
263	9778	8741
264	9815	8703
265	9848	8663
266	9884	8626
267	9923	8590
268	9958	8551
269	9993	8513
270	10030	8475
271	10066	8437
272	10100	8398
273	10135	8360
274	10172	8322
275	10209	8286
276	10245	8248
277	10278	8208
278	10315	8171
279	10349	8131
280	10383	8092
281	10416	8052
282	10453	8015
283	10488	7976
284	10522	7938
285	10566	7906
286	10608	7872
287	10649	7839
288	10688	7803
289	10728	7768
290	10768	7734
291	10805	7697
292	10840	7658
293	10878	7622
294	10913	7583
295	10947	7544
296	10982	7506
297	11018	7468
